date,v5c,v5b,v5,spy
2008-08-21,0.024774,0.024774,0.028664,0.013963
2008-08-22,-0.002917,-0.002917,-0.007593,0.014476
2008-08-25,0.001778,0.001778,0.000400,-0.012402
2008-08-26,0.004999,0.004999,0.005261,0.004887
2008-08-27,0.009879,0.009879,0.010846,0.012940
2008-08-28,0.010304,0.010304,0.008088,0.016573
2008-08-29,-0.006891,-0.006891,-0.007193,-0.010753
2008-09-02,0.017294,0.017294,0.011828,0.020963
2008-09-03,0.006121,0.006121,0.005454,0.005891
2008-09-04,-0.014013,-0.016797,-0.020072,-0.034053
2008-09-05,-0.001718,-0.001461,-0.003846,0.003144
2008-09-08,0.011856,0.013843,0.013942,0.024302
2008-09-09,-0.006210,-0.008213,-0.011428,-0.024489
2008-09-10,-0.001012,-0.000805,0.000282,0.002527
2008-09-11,-0.014434,-0.014950,-0.018899,-0.006316
2008-09-12,-0.001755,-0.001377,0.000346,0.004621
2008-09-15,-0.004208,-0.011716,-0.019043,-0.042942
2008-09-16,-0.011251,-0.011400,-0.015497,-0.000853
2008-09-17,-0.004934,-0.009982,-0.005398,-0.045171
2008-09-18,-0.003079,-0.000737,-0.000297,0.020960
2008-09-19,0.004890,0.009328,0.016083,0.039714
2008-09-22,-0.007871,-0.011848,-0.005923,-0.035595
2008-09-23,-0.007296,-0.009484,-0.011066,-0.019578
2008-09-24,0.004216,0.005128,0.003685,0.008159
2008-09-25,0.005663,0.007417,0.009526,0.015695
2008-09-26,0.000493,0.000548,-0.001831,0.000497
2008-09-29,0.001798,-0.003208,-0.015539,-0.048256
2008-09-30,0.017041,0.016554,0.024350,0.048535
2008-10-01,0.010504,0.010467,0.009957,0.003685
2008-10-02,-0.005089,-0.004684,-0.004806,-0.040355
2008-10-03,0.003011,0.003146,0.002861,-0.013500
2008-10-06,0.013758,0.014125,0.013034,-0.036521
2008-10-07,-0.002348,-0.001999,-0.002238,-0.034832
2008-10-08,-0.005371,-0.005226,-0.005113,-0.014432
2008-10-09,-0.016468,-0.015793,-0.015607,-0.067312
2008-10-10,-0.009043,-0.008800,-0.008572,-0.024256
2008-10-13,-0.005142,0.000779,0.001889,0.120356
2008-10-14,0.003768,0.003700,0.003470,-0.001381
2008-10-15,-0.013330,-0.013192,-0.013202,-0.106721
2008-10-16,0.003879,0.003821,0.003912,0.044133
2008-10-17,-0.005128,-0.005120,-0.004897,-0.005972
2008-10-20,0.040586,0.040457,0.038966,0.100009
2008-10-21,0.020552,0.020554,0.019431,-0.001531
2008-10-22,0.004580,0.004652,0.004047,-0.055971
2008-10-23,0.020492,0.020451,0.019570,0.031413
2008-10-24,-0.013324,-0.013259,-0.012914,-0.050714
2008-10-27,0.013229,0.013245,0.012436,-0.012169
2008-10-28,-0.018983,-0.019085,-0.017518,0.078605
2008-10-29,-0.016505,-0.016473,-0.015754,-0.024345
2008-10-30,-0.001197,-0.001242,-0.000950,0.034645
2008-10-31,0.005784,0.005753,0.005580,0.024154
2008-11-03,0.015989,0.015960,0.015249,0.022122
2008-11-04,0.008569,0.008539,0.008275,0.023187
2008-11-05,0.006239,0.006286,0.005711,-0.036470
2008-11-06,0.000183,0.000235,-0.000072,-0.039531
2008-11-07,-0.002973,-0.003010,-0.002658,0.028543
2008-11-10,0.002061,0.002077,0.001888,-0.012178
2008-11-11,0.009677,0.009697,0.009067,-0.014979
2008-11-12,0.021021,0.021039,0.019804,-0.013940
2008-11-13,-0.006646,-0.006727,-0.005968,0.062925
2008-11-14,0.013642,0.013694,0.012707,-0.040006
2008-11-17,-0.010624,-0.010586,-0.010204,-0.029202
2008-11-18,0.012325,0.012297,0.011802,0.021250
2008-11-19,0.007350,0.007434,0.006626,-0.064736
2008-11-20,0.034766,0.034843,0.032631,-0.059654
2008-11-21,-0.011257,-0.011310,-0.010436,0.040600
2008-11-24,-0.011468,-0.011538,-0.010563,0.053617
2008-11-25,0.006132,0.006146,0.005796,-0.010813
2008-11-26,0.010361,0.010303,0.010059,0.045035
2008-11-28,0.005594,0.005594,0.005159,0.009204
2008-12-01,0.036190,0.036190,0.032577,-0.056691
